n;zona;municipio;provincia;pais;origen;lat;lon;sol_horas_anio;sol_dias_equiv;dias_despejados;dias_cubiertos;lluvia_dias_anio;lluvia_mm_anio;temp_verano_c;temp_invierno_c;humedad_pct;viento;niebla;clase_clima;min_costa;playa_bano;min_bano;temp_agua_verano;franja;servicios_1_10;servicios_nota;fibra;comunicaciones;comunicaciones_1_10;hospitales;hospital_km;hospital_min;hospital_pub;hospital_priv;aeropuertos;aeropuerto_min;palma_mas_cercano;palma_mejor_opcion;precio_m2_eur;A_2hab_eur;A_3hab_eur;B_2hab_eur;B_3hab_eur;producto_en_presupuesto;obra_nueva;prima_terraza_pct;prima_vistas_mar_pct;prima_terraza_vistas_pct;facilidad_venta_1_10;revalorizacion_1_10;dependencia_coche_1_10;debilidad_principal;comparado_con_mejor
1;Baixo Miño;A Guarda;Pontevedra;España;MAPA 1.0;41.902;-8.874;2450;306;75;115;118;1500;19.5;10.0;77;Media;Baja;Más favorable;3;Area Grande / O Muíño (Miño);5;17-19;A;6;Añade: puerto pesquero, ferry a Caminha. Falta: hospital lejos;Sí;"PO-552; bus a Vigo; sin tren; ferry a Caminha";4;"Álvaro Cunqueiro (Vigo) [Púb] 45 km · 45 min; Povisa (Vigo) [Priv] 50 km · 50 min";45;45;45 km · 45 min · Álvaro Cunqueiro (Vigo);50 km · 50 min · Povisa (Vigo);"Vigo 64 km · 50 min (Palma: verano); Porto 99 km · 75 min (Palma: verano); Santiago 142 km · 105 min (Palma: casi todo el año)";50;Verano;Santiago (casi todo el año) · 105 min;1450;122500;169600;99000;137000;Sí, en ambas franjas;Poca;7;12;16;6;6;6;"Vigo y hospital a 45 min; nortada estival. Además: hospital público a 45 min · vuelo a Palma solo en verano desde Vigo; el más cercano con conexión anual es Santiago, a 105 min · 100 h de sol menos y 13 días de lluvia más que el mejor de la tabla · comunicaciones flojas (4/10).";Sol −100 h · Lluvia +13 d · Hospital +40 min · Aeropuerto +40 min
2;Baixo Miño;Oia;Pontevedra;España;Ampliación;42.006;-8.879;2450;306;75;115;118;1500;19.5;10.0;77;Media;Baja;Más favorable;1;Praia de Mougás (abierta) / Baiona 15 min;15;16-18;A;3;Falta: supermercado grande e instituto (en Baiona / A Guarda);Parcial;"PO-552; bus; sin tren";3;"Álvaro Cunqueiro (Vigo) [Púb] 40 km · 40 min; Povisa (Vigo) [Priv] 45 km · 45 min";40;40;40 km · 40 min · Álvaro Cunqueiro (Vigo);45 km · 45 min · Povisa (Vigo);"Vigo 57 km · 45 min (Palma: verano); Porto 113 km · 85 min (Palma: verano); Santiago 129 km · 95 min (Palma: casi todo el año)";45;Verano;Santiago (casi todo el año) · 95 min;1600;135200;187200;109200;151200;Sí, en ambas franjas;No;8;15;20;6;7;8;"Núcleo mínimo: todo el día a día en Baiona o A Guarda; costa muy expuesta. Además: hospital público a 40 min · vuelo a Palma solo en verano desde Vigo; el más cercano con conexión anual es Santiago, a 95 min · 100 h de sol menos y 13 días de lluvia más que el mejor de la tabla · fibra solo en el casco: fuera, 4G/5G o satélite · prácticamente sin obra nueva: habrá que buscar reciente o reformado · servicios básicos limitados (3/10) · comunicaciones flojas (3/10) · coche imprescindible para el día a día.";Sol −100 h · Lluvia +13 d · Hospital +35 min · Aeropuerto +35 min
3;Baixo Miño;O Rosal;Pontevedra;España;MAPA 1.0;41.937;-8.836;2400;300;75;115;120;1500;20.0;9.5;78;Baja;Baja;Más favorable;10;Area Grande (A Guarda);10;17-19;B;4;Añade: valle de viñedos, muy soleado. Falta: instituto;Parcial;"PO-552 / PO-353; bus; sin tren";4;"Álvaro Cunqueiro (Vigo) [Púb] 40 km · 40 min; Povisa (Vigo) [Priv] 45 km · 45 min";40;40;40 km · 40 min · Álvaro Cunqueiro (Vigo);45 km · 45 min · Povisa (Vigo);"Vigo 57 km · 45 min (Palma: verano); Porto 92 km · 70 min (Palma: verano); Santiago 137 km · 100 min (Palma: casi todo el año)";45;Verano;Santiago (casi todo el año) · 100 min;1350;;;92100;127600;Sí, en ambas franjas;Poca;5;8;11;5;6;8;"Vivienda dispersa, coche imprescindible. Franja B: valle interior a 10 min de A Guarda; vistas al Miño y viñedos, no al mar abierto. Además: hospital público a 40 min · vuelo a Palma solo en verano desde Vigo; el más cercano con conexión anual es Santiago, a 100 min · 150 h de sol menos y 15 días de lluvia más que el mejor de la tabla · fibra solo en el casco: fuera, 4G/5G o satélite · servicios básicos limitados (4/10) · comunicaciones flojas (4/10) · coche imprescindible para el día a día.";Sol −150 h · Lluvia +15 d · Hospital +35 min · Aeropuerto +35 min
4;Baixo Miño;Tomiño;Pontevedra;España;MAPA 2.0;41.994;-8.744;2350;294;78;115;122;1600;21.0;9.5;78;Baja;Media;Favorable;20;Area Grande (A Guarda);20;17-19;B;5;Añade: Goián y Seixo con servicios propios. Falta: centro comercial;Parcial;"PO-552 / A-55 (Tui); bus";5;"Álvaro Cunqueiro (Vigo) [Púb] 30 km · 35 min; Povisa (Vigo) [Priv] 34 km · 35 min";30;35;30 km · 35 min · Álvaro Cunqueiro (Vigo);34 km · 35 min · Povisa (Vigo);"Vigo 34 km · 30 min (Palma: verano); Porto 85 km · 65 min (Palma: verano); Santiago 127 km · 95 min (Palma: casi todo el año)";30;Verano;Santiago (casi todo el año) · 95 min;1100;;;75100;104000;Sí, en ambas franjas;Poca;5;;;5;6;8;"Sin costa; vivienda dispersa; niebla de valle en invierno. Franja B: municipio fluvial del Miño sin costa marítima; playa a 20 min. Además: hospital público a 35 min · vuelo a Palma solo en verano desde Vigo; el más cercano con conexión anual es Santiago, a 95 min · 200 h de sol menos y 17 días de lluvia más que el mejor de la tabla · fibra solo en el casco: fuera, 4G/5G o satélite · coche imprescindible para el día a día.";Sol −200 h · Lluvia +17 d · Hospital +30 min · Aeropuerto +20 min
5;Baixo Miño;Tui;Pontevedra;España;MAPA 1.0;42.047;-8.644;2350;294;78;115;122;1650;21.0;9.0;78;Baja;Media;Favorable;25;Cesantes (Redondela) / Area Grande;25;17-20;B;7;Añade: tren a Vigo y Porto, casco histórico;Sí;"A-55 / AP-9; tren Vigo–Porto (Linha do Minho)";8;"Álvaro Cunqueiro (Vigo) [Púb] 25 km · 30 min; Povisa (Vigo) [Priv] 27 km · 30 min";25;30;25 km · 30 min · Álvaro Cunqueiro (Vigo);27 km · 30 min · Povisa (Vigo);"Vigo 25 km · 25 min (Palma: verano); Porto 78 km · 60 min (Palma: verano); Santiago 117 km · 90 min (Palma: casi todo el año)";25;Verano;Santiago (casi todo el año) · 90 min;1250;;;85300;118100;Sí, en ambas franjas;Sí;5;;;6;6;6;"Sin costa: 25 min a la playa; veranos calurosos. Franja B: ciudad fluvial sin costa; a 25 min de playa y con tren directo a Vigo y Porto. Además: vuelo a Palma solo en verano desde Vigo; el más cercano con conexión anual es Santiago, a 90 min · 200 h de sol menos y 17 días de lluvia más que el mejor de la tabla.";Sol −200 h · Lluvia +17 d · Hospital +25 min · Aeropuerto +15 min
6;Val Miñor;Baiona;Pontevedra;España;MAPA 2.0;42.118;-8.851;2500;312;78;110;115;1400;20.0;10.5;77;Baja;Baja;Más favorable;1;Ladeira / Barbeira (bahía);2;17-19;A;6;Añade: puerto deportivo, paseo. Falta: instituto propio (Nigrán);Sí;"PO-552 / AG-57; bus interurbano";6;"Álvaro Cunqueiro (Vigo) [Púb] 18 km · 20 min; Povisa (Vigo) [Priv] 22 km · 25 min";18;20;18 km · 20 min · Álvaro Cunqueiro (Vigo);22 km · 25 min · Povisa (Vigo);"Vigo 27 km · 25 min (Palma: verano); Santiago 114 km · 85 min (Palma: casi todo el año); Porto 113 km · 85 min (Palma: verano)";25;Verano;Santiago (casi todo el año) · 85 min;2500;211200;292500;170600;236200;"Sí en B; en A solo 2 hab";Sí;8;15;20;8;8;4;"Precio alto; saturación estival. Además: vuelo a Palma solo en verano desde Vigo; el más cercano con conexión anual es Santiago, a 85 min · 50 h de sol menos y 10 días de lluvia más que el mejor de la tabla · 3 hab en franja A por encima del presupuesto (≈292.500 €); 2 hab sí.";Sol −50 h · Lluvia +10 d · Hospital +15 min · Aeropuerto +15 min
7;Val Miñor;Nigrán;Pontevedra;España;MAPA 2.0;42.141;-8.805;2500;312;78;110;115;1400;20.0;10.5;77;Baja;Baja;Más favorable;2;Panxón / Patos / Playa América;3;17-19;A;7;Añade: Vigo a 20 min, centro comercial;Sí;"PO-552 / AG-57; bus; Vigo a 20 min";7;"Álvaro Cunqueiro (Vigo) [Púb] 12 km · 15 min; Povisa (Vigo) [Priv] 16 km · 20 min";12;15;12 km · 15 min · Álvaro Cunqueiro (Vigo);16 km · 20 min · Povisa (Vigo);"Vigo 22 km · 20 min (Palma: verano); Santiago 110 km · 80 min (Palma: casi todo el año); Porto 106 km · 80 min (Palma: verano)";20;Verano;Santiago (casi todo el año) · 80 min;2600;219700;304200;177400;245700;"Sí en B; en A solo 2 hab";Sí;8;15;20;9;8;5;"Precio más alto de la costa gallega; urbanismo disperso. Además: vuelo a Palma solo en verano desde Vigo; el más cercano con conexión anual es Santiago, a 80 min · 50 h de sol menos y 10 días de lluvia más que el mejor de la tabla · 3 hab en franja A por encima del presupuesto (≈304.200 €); 2 hab sí.";Sol −50 h · Lluvia +10 d · Hospital +10 min · Aeropuerto +10 min
8;Val Miñor;Gondomar;Pontevedra;España;MAPA 2.0;42.111;-8.762;2450;306;78;110;118;1500;20.5;10.0;77;Baja;Baja;Más favorable;15;Patos (Nigrán);15;17-19;B;6;Añade: villa compacta con todo lo básico. Falta: instituto de FP;Parcial;"AG-57 / PO-340; bus";6;"Álvaro Cunqueiro (Vigo) [Púb] 14 km · 15 min; Povisa (Vigo) [Priv] 17 km · 20 min";14;15;14 km · 15 min · Álvaro Cunqueiro (Vigo);17 km · 20 min · Povisa (Vigo);"Vigo 21 km · 20 min (Palma: verano); Porto 106 km · 80 min (Palma: verano); Santiago 112 km · 85 min (Palma: casi todo el año)";20;Verano;Santiago (casi todo el año) · 85 min;1700;;;116000;160600;Sí, en ambas franjas;Sí;5;8;11;7;7;7;"Sin costa: playa a 15 min; valle interior. Franja B: valle interior del Val Miñor; playas de Nigrán a 15 min. Además: vuelo a Palma solo en verano desde Vigo; el más cercano con conexión anual es Santiago, a 85 min · 100 h de sol menos y 13 días de lluvia más que el mejor de la tabla · fibra solo en el casco: fuera, 4G/5G o satélite.";Sol −100 h · Lluvia +13 d · Hospital +10 min · Aeropuerto +10 min
9;Vigo e ría;Vigo;Pontevedra;España;Ampliación;42.231;-8.712;2350;294;72;118;128;1700;20.5;9.5;78;Baja;Baja;Favorable;1;Samil / O Vao / Canido;10;17-19;A;10;Añade: ciudad completa (300.000 hab), hospitales, AVE, puerto;Sí;"AP-9 / A-55 / VG-20; tren AVE-Eixo Atlántico; puerto; aeropuerto";10;"Povisa (Vigo) [Priv] 1 km · 5 min; Álvaro Cunqueiro (Vigo) [Púb] 5 km · 10 min; Montecelo (Pontevedra) [Púb] 29 km · 30 min";1;5;5 km · 10 min · Álvaro Cunqueiro (Vigo);1 km · 5 min · Povisa (Vigo);"Vigo 9 km · 10 min (Palma: verano); Santiago 95 km · 70 min (Palma: casi todo el año); Porto 133 km · 100 min (Palma: verano)";10;Verano;Santiago (casi todo el año) · 70 min;2700;228200;315900;184300;255200;"Sí en B; en A solo 2 hab";Sí;8;15;20;10;7;2;"Cumple solo en barrios costeros con vistas (Coruxo, Oia, Saiáns, Canido, Alcabre); precio en el límite del presupuesto. Incluido porque cumple en parte del municipio: zonas del litoral sur (Coruxo–Saiáns) y Canido. Además: vuelo a Palma solo en verano desde Vigo; el más cercano con conexión anual es Santiago, a 70 min · 200 h de sol menos y 23 días de lluvia más que el mejor de la tabla · 3 hab en franja A por encima del presupuesto (≈315.900 €); 2 hab sí.";Sol −200 h · Lluvia +23 d · Hospital = mejor · Aeropuerto = mejor
10;Vigo e ría;Redondela;Pontevedra;España;MAPA 1.0;42.283;-8.609;2250;281;72;118;128;1700;20.5;9.5;78;Baja;Baja;Favorable;5;Cesantes (ría, agua calma);5;18-20;A;7;Añade: nudo ferroviario;Sí;"AP-9 / N-550; tren Eixo Atlántico";8;"Povisa (Vigo) [Priv] 14 km · 15 min; Álvaro Cunqueiro (Vigo) [Púb] 18 km · 20 min; Montecelo (Pontevedra) [Púb] 20 km · 25 min";14;15;18 km · 20 min · Álvaro Cunqueiro (Vigo);14 km · 15 min · Povisa (Vigo);"Vigo 7 km · 10 min (Palma: verano); Santiago 85 km · 65 min (Palma: casi todo el año); Porto 141 km · 105 min (Palma: verano)";10;Verano;Santiago (casi todo el año) · 65 min;1450;122500;169600;99000;137000;Sí, en ambas franjas;Poca;7;12;16;7;6;5;"Playas de ría; tráfico AP-9/Rande en verano. Además: vuelo a Palma solo en verano desde Vigo; el más cercano con conexión anual es Santiago, a 65 min · 2.250 h de sol y 128 días de lluvia (300 h menos y 23 días más que el mejor de la tabla).";Sol −300 h · Lluvia +23 d · Hospital +10 min · Aeropuerto = mejor
